Source,Target,Type,Id,Label,timeset,Weight,number_of_coauthored_works
n0,n1,Undirected,e0,,,9,9
n0,n2,Undirected,e1,,,8,8
n1,n2,Undirected,e2,,,24,24
n2,n3,Undirected,e3,,,1,1
n3,n4,Undirected,e4,,,1,1
n3,n5,Undirected,e5,,,1,1
n3,n6,Undirected,e6,,,1,1
n3,n7,Undirected,e7,,,1,1
n3,n27,Undirected,e8,,,1,1
n3,n8,Undirected,e9,,,1,1
n2,n8,Undirected,e10,,,1,1
n4,n8,Undirected,e11,,,1,1
n5,n8,Undirected,e12,,,1,1
n6,n8,Undirected,e13,,,1,1
n7,n8,Undirected,e14,,,1,1
n27,n8,Undirected,e15,,,1,1
n2,n27,Undirected,e16,,,1,1
n4,n27,Undirected,e17,,,1,1
n5,n27,Undirected,e18,,,1,1
n6,n27,Undirected,e19,,,1,1
n7,n27,Undirected,e20,,,1,1
n2,n7,Undirected,e21,,,1,1
n4,n7,Undirected,e22,,,1,1
n5,n7,Undirected,e23,,,1,1
n6,n7,Undirected,e24,,,1,1
n2,n6,Undirected,e25,,,1,1
n4,n6,Undirected,e26,,,1,1
n5,n6,Undirected,e27,,,1,1
n2,n5,Undirected,e28,,,1,1
n4,n5,Undirected,e29,,,1,1
n2,n4,Undirected,e30,,,15,15
n9,n10,Undirected,e31,,,1,1
n9,n11,Undirected,e32,,,1,1
n2,n9,Undirected,e33,,,2,2
n9,n12,Undirected,e34,,,1,1
n9,n13,Undirected,e35,,,1,1
n10,n13,Undirected,e36,,,1,1
n11,n13,Undirected,e37,,,1,1
n2,n13,Undirected,e38,,,1,1
n12,n13,Undirected,e39,,,1,1
n10,n12,Undirected,e40,,,1,1
n11,n12,Undirected,e41,,,1,1
n2,n12,Undirected,e42,,,1,1
n2,n10,Undirected,e43,,,1,1
n2,n11,Undirected,e44,,,1,1
n10,n11,Undirected,e45,,,1,1
n14,n15,Undirected,e46,,,1,1
n2,n14,Undirected,e47,,,1,1
n14,n16,Undirected,e48,,,1,1
n14,n17,Undirected,e49,,,1,1
n14,n211,Undirected,e50,,,1,1
n14,n18,Undirected,e51,,,1,1
n15,n18,Undirected,e52,,,1,1
n2,n18,Undirected,e53,,,1,1
n16,n18,Undirected,e54,,,1,1
n17,n18,Undirected,e55,,,1,1
n211,n18,Undirected,e56,,,1,1
n15,n211,Undirected,e57,,,1,1
n2,n211,Undirected,e58,,,1,1
n16,n211,Undirected,e59,,,1,1
n17,n211,Undirected,e60,,,1,1
n15,n17,Undirected,e61,,,1,1
n2,n17,Undirected,e62,,,1,1
n16,n17,Undirected,e63,,,1,1
n15,n16,Undirected,e64,,,1,1
n2,n16,Undirected,e65,,,1,1
n2,n15,Undirected,e66,,,1,1
n2,n19,Undirected,e67,,,1,1
n2,n20,Undirected,e68,,,1,1
n2,n21,Undirected,e69,,,2,2
n19,n21,Undirected,e70,,,1,1
n4,n21,Undirected,e71,,,2,2
n20,n21,Undirected,e72,,,1,1
n19,n20,Undirected,e73,,,1,1
n4,n20,Undirected,e74,,,1,1
n4,n19,Undirected,e75,,,1,1
n22,n23,Undirected,e76,,,1,1
n22,n24,Undirected,e77,,,1,1
n22,n25,Undirected,e78,,,1,1
n22,n26,Undirected,e79,,,1,1
n22,n27,Undirected,e80,,,1,1
n22,n28,Undirected,e81,,,1,1
n22,n29,Undirected,e82,,,1,1
n2,n22,Undirected,e83,,,1,1
n22,n30,Undirected,e84,,,1,1
n22,n31,Undirected,e85,,,1,1
n23,n31,Undirected,e86,,,1,1
n24,n31,Undirected,e87,,,1,1
n25,n31,Undirected,e88,,,1,1
n26,n31,Undirected,e89,,,1,1
n27,n31,Undirected,e90,,,1,1
n28,n31,Undirected,e91,,,1,1
n29,n31,Undirected,e92,,,1,1
n2,n31,Undirected,e93,,,1,1
n30,n31,Undirected,e94,,,1,1
n23,n30,Undirected,e95,,,1,1
n24,n30,Undirected,e96,,,1,1
n25,n30,Undirected,e97,,,1,1
n26,n30,Undirected,e98,,,1,1
n27,n30,Undirected,e99,,,1,1
n28,n30,Undirected,e100,,,1,1
n29,n30,Undirected,e101,,,1,1
n2,n30,Undirected,e102,,,1,1
n2,n23,Undirected,e103,,,1,1
n2,n24,Undirected,e104,,,1,1
n2,n25,Undirected,e105,,,1,1
n2,n26,Undirected,e106,,,2,2
n2,n28,Undirected,e107,,,1,1
n2,n29,Undirected,e108,,,3,3
n23,n29,Undirected,e109,,,1,1
n24,n29,Undirected,e110,,,1,1
n25,n29,Undirected,e111,,,1,1
n26,n29,Undirected,e112,,,2,2
n27,n29,Undirected,e113,,,1,1
n28,n29,Undirected,e114,,,1,1
n23,n28,Undirected,e115,,,1,1
n24,n28,Undirected,e116,,,1,1
n25,n28,Undirected,e117,,,1,1
n26,n28,Undirected,e118,,,1,1
n27,n28,Undirected,e119,,,1,1
n23,n27,Undirected,e120,,,1,1
n24,n27,Undirected,e121,,,1,1
n25,n27,Undirected,e122,,,1,1
n26,n27,Undirected,e123,,,1,1
n23,n26,Undirected,e124,,,1,1
n24,n26,Undirected,e125,,,1,1
n25,n26,Undirected,e126,,,1,1
n23,n25,Undirected,e127,,,1,1
n24,n25,Undirected,e128,,,1,1
n23,n24,Undirected,e129,,,1,1
n1,n72,Undirected,e130,,,3,3
n1,n32,Undirected,e131,,,1,1
n0,n32,Undirected,e132,,,1,1
n72,n32,Undirected,e133,,,1,1
n2,n32,Undirected,e134,,,1,1
n2,n72,Undirected,e135,,,3,3
n0,n72,Undirected,e136,,,1,1
n2,n33,Undirected,e137,,,1,1
n9,n33,Undirected,e138,,,1,1
n4,n33,Undirected,e139,,,1,1
n4,n9,Undirected,e140,,,1,1
n34,n35,Undirected,e141,,,1,1
n34,n36,Undirected,e142,,,1,1
n34,n37,Undirected,e143,,,1,1
n34,n38,Undirected,e144,,,1,1
n34,n39,Undirected,e145,,,1,1
n34,n40,Undirected,e146,,,1,1
n34,n41,Undirected,e147,,,1,1
n2,n34,Undirected,e148,,,1,1
n34,n42,Undirected,e149,,,1,1
n34,n43,Undirected,e150,,,1,1
n34,n44,Undirected,e151,,,1,1
n34,n45,Undirected,e152,,,1,1
n35,n45,Undirected,e153,,,1,1
n36,n45,Undirected,e154,,,1,1
n37,n45,Undirected,e155,,,1,1
n38,n45,Undirected,e156,,,1,1
n39,n45,Undirected,e157,,,1,1
n40,n45,Undirected,e158,,,1,1
n41,n45,Undirected,e159,,,1,1
n2,n45,Undirected,e160,,,1,1
n42,n45,Undirected,e161,,,1,1
