label,number_of_authored_works,times_cited,uniqueIndex,combineValues
"Banovic, F",10,20,1,*
"Olivry, T",25,146,2,*
"Linder, Ke",70,467,3,*
"Mackay, R",1,0,4,*
"Bizikova, P",15,71,5,*
"Luff, J",1,0,6,*
"Zhou, D",1,0,7,*
"Yuan, H",1,0,8,*
"Breuhaus, B",1,0,30,
"Nelson, E",1,0,10,*
"Baumer, W",2,0,11,*
"Fukuyama, T",1,0,12,*
"Martel, Bc",1,0,13,*
"Ehling, S",1,0,14,*
"Ganchingco, Jr",1,0,15,*
"Messenger, Km",1,0,16,*
"Risselada, M",1,0,17,*
"Griffith, E",1,0,18,*
"Roberts, Bv",1,0,19,*
"Davidson, G",1,0,226,
"Zamboni, Wc",1,0,21,*
"Laprais, Af",1,0,22,*
"Lashnits, Ew",1,0,23,*
"Tucker, A",2,0,24,*
"Tarigo, Jl",1,1,25,*
"Meichner, K",1,1,26,*
"Kraszeski, Bh",1,1,27,*
"Durrant, Jr",1,1,28,*
"Grindem, Cb",2,1,29,*
"Breuhaus, Ba",2,4,30,*
"Moore, Pf",1,1,31,*
"Neel, Ja",3,1,32,*
"Borst, Lb",1,1,33,*
"Fogle, Je",1,1,34,*
"Dunston, S",3,22,79,
"Rakich, P",1,1,36,*
"Linder, K",18,127,3,
"Jacob, M",1,0,38,*
"Cavanagh, J",1,1,39,*
"Draughn, Gl",1,1,40,*
"Allen, Cl",1,1,41,*
"Routh, Pa",1,1,42,*
"Stone, Mr",1,1,43,*
"Kirker, Kr",1,1,44,*
"Boegli, A",1,1,45,*
"Schuchman, Rm",1,1,46,*
"Baynes, Re",1,1,47,*
"James, G",1,1,48,*
"Melander, C",1,1,49,*
"Pollard, A",1,1,50,*
"Uri, M",1,3,51,*
"Rossi, Ma",4,15,52,*
"Tham, Hl",2,1,53,*
"Cote-sierra, J",1,11,54,*
"Mayhew, D",1,11,55,*
"Paps, Js",3,24,56,*
"Peredo, C",1,11,57,*
"Rajpal, D",1,11,58,*
"Hofland, H",1,11,59,*
"Keene, Bw",2,5,60,*
"Palerme, Js",1,0,61,*
"Jones, Ae",1,0,62,*
"Ward, Jl",1,0,63,*
"Balakrishnan, N",4,14,64,*
"Breitschwerdt, Eb",13,187,65,*
"Tamamoto-mochizuki, C",1,1,66,*
"Laprais, A",1,1,22,
"Linek, M",1,0,68,*
"Doelle, M",1,0,69,*
"Boche, J",1,0,70,*
"Jagannathan, V",1,0,71,*
"Leeb, T",1,0,72,*
"Maggi, R",1,0,85,
"Harper, Jb",1,0,74,*
"Alpi, Km",1,0,75,*
"Brown, Jc",1,0,76,*
"Wofford, Ja",1,1,77,*
"Mamo, Lb",1,1,78,*
"Dunston, Sm",2,10,79,*
"Gilger, Bc",1,3,80,*
"Pinto, Ni",1,3,81,*
"Mcmullen, Rj",1,3,82,*
"Cullen, Jm",3,10,83,*
"Pultorak, El",1,2,84,*
"Maggi, Rg",10,175,85,*
"Sauber, L",1,2,86,*
"Moriello, Ka",1,2,87,*
"Messenger, Lm",1,2,88,*
"Bazzle, L",1,2,89,*
"Tobias, Jr",2,3,90,*
"Atlee, B",1,2,91,*
"Zabel, S",1,2,92,*
