Id,Label,timeset,number_of_authored_works,times_cited
n0,"Banovic, F",,10,20
n1,"Olivry, T",,25,146
n2,"Linder, Ke",,70,467
n3,"Mackay, R",,1,0
n4,"Bizikova, P",,15,71
n5,"Luff, J",,1,0
n6,"Zhou, D",,1,0
n7,"Yuan, H",,1,0
n8,"Nelson, E",,1,0
n9,"Baumer, W",,2,0
n10,"Fukuyama, T",,1,0
n11,"Martel, Bc",,1,0
n12,"Ehling, S",,1,0
n13,"Ganchingco, Jr",,1,0
n14,"Messenger, Km",,1,0
n15,"Risselada, M",,1,0
n16,"Griffith, E",,1,0
n17,"Roberts, Bv",,1,0
n18,"Zamboni, Wc",,1,0
n19,"Laprais, Af",,1,0
n20,"Lashnits, Ew",,1,0
n21,"Tucker, A",,2,0
n22,"Tarigo, Jl",,1,1
n23,"Meichner, K",,1,1
n24,"Kraszeski, Bh",,1,1
n25,"Durrant, Jr",,1,1
n26,"Grindem, Cb",,2,1
n27,"Breuhaus, Ba",,2,4
n28,"Moore, Pf",,1,1
n29,"Neel, Ja",,3,1
n30,"Borst, Lb",,1,1
n31,"Fogle, Je",,1,1
n32,"Rakich, P",,1,1
n33,"Jacob, M",,1,0
n34,"Cavanagh, J",,1,1
n35,"Draughn, Gl",,1,1
n36,"Allen, Cl",,1,1
n37,"Routh, Pa",,1,1
n38,"Stone, Mr",,1,1
n39,"Kirker, Kr",,1,1
n40,"Boegli, A",,1,1
n41,"Schuchman, Rm",,1,1
n42,"Baynes, Re",,1,1
n43,"James, G",,1,1
n44,"Melander, C",,1,1
n45,"Pollard, A",,1,1
n46,"Uri, M",,1,3
n47,"Rossi, Ma",,4,15
n48,"Tham, Hl",,2,1
n49,"Cote-sierra, J",,1,11
n50,"Mayhew, D",,1,11
n51,"Paps, Js",,3,24
n52,"Peredo, C",,1,11
n53,"Rajpal, D",,1,11
n54,"Hofland, H",,1,11
n55,"Keene, Bw",,2,5
n56,"Palerme, Js",,1,0
n57,"Jones, Ae",,1,0
n58,"Ward, Jl",,1,0
n59,"Balakrishnan, N",,4,14
n60,"Breitschwerdt, Eb",,13,187
n61,"Tamamoto-mochizuki, C",,1,1
n62,"Linek, M",,1,0
n63,"Doelle, M",,1,0
n64,"Boche, J",,1,0
n65,"Jagannathan, V",,1,0
n66,"Leeb, T",,1,0
n67,"Harper, Jb",,1,0
n68,"Alpi, Km",,1,0
n69,"Brown, Jc",,1,0
n70,"Wofford, Ja",,1,1
n71,"Mamo, Lb",,1,1
n72,"Dunston, Sm",,2,10
n73,"Gilger, Bc",,1,3
n74,"Pinto, Ni",,1,3
n75,"Mcmullen, Rj",,1,3
n76,"Cullen, Jm",,3,10
n77,"Pultorak, El",,1,2
n78,"Maggi, Rg",,10,175
n79,"Sauber, L",,1,2
n80,"Moriello, Ka",,1,2
n81,"Messenger, Lm",,1,2
n82,"Bazzle, L",,1,2
n83,"Tobias, Jr",,2,3
n84,"Atlee, B",,1,2
n85,"Zabel, S",,1,2
n86,"Hensel, N",,1,2
n87,"Messa, Jb",,1,3
n88,"Tate, Lp",,1,0
n89,"Rowe, Ea",,1,0
n90,"Mathews, Kg",,4,17
n91,"Olby, Nj",,6,84
n92,"Agler, C",,1,14
n93,"Nielsen, Dm",,1,14
n94,"Urkasemsin, G",,3,32
n95,"Singleton, A",,1,14
n96,"Tonomura, N",,1,14
n97,"Sigurdsson, S",,1,14
n98,"Tang, Rq",,1,14
