web-scraper-order,web-scraper-start-url,pagination,pagination-href,pr_url,pr_url-href,title,body,date,issues,transcript
"1528294985-386","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=25","Walker to Introduce Legislation to Assist State & Local Authorities in Countering Violent Extremism","https://walker.house.gov/media-center/press-releases/walker-introduce-legislation-assist-state-local-authorities-countering","Walker to Introduce Legislation to Assist State & Local Authorities in Countering Violent Extremism","WASHINGTON, DC â€“ U.S. Representative Mark Walker, a member of the Committee on Homeland Security, will introduce the Countering Violent Extremism (CVE) Grants Act tomorrow.  The CVE Grants Act aims to better empower state and local authorities in combating violent extremism without requiring additional federal spending.","February 23, 2015","Security","null"
"1528294787-249","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=17","Walker Statement on President's Veto of Obamacare Repeal","https://walker.house.gov/media-center/press-releases/walker-statement-presidents-veto-obamacare-repeal","Walker Statement on President's Veto of Obamacare Repeal","WASHINGTON, D.C. â€“ U.S. Representative Mark Walker (NC-06) released the following statement following President Obamaâ€™s veto of The Restoring Americansâ€™ Healthcare Freedom Reconciliation Act, a bill that repealed the Affordable Care Act and defunded Planned Parenthood:","January 8, 2016","Jobs and Economic Growth","null"
"1528294941-347","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=23","Walker Calls for OPM Director’s Removal","https://walker.house.gov/media-center/press-releases/walker-calls-opm-director-s-removal","Walker Calls for OPM Director’s Removal","WASHINGTON, DC â€“ Congressman Mark Walker (NC-06) has joined Committee on Oversight and Government Reform Chairman Jason Chaffetz in demanding for the immediate removal of Office of Personnel Management (OPM) Director Katherine Archuleta following a hearing investigating the catastrophic data breach at the agency.","June 17, 2015","Accountability",""
"1528294989-388","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=25","Walker Statement on FCC Ruling to Reclassify the Internet","https://walker.house.gov/media-center/press-releases/walker-statement-fcc-ruling-reclassify-internet","Walker Statement on FCC Ruling to Reclassify the Internet","WASHINGTON, DC â€“ U.S. Representative Mark Walker (NC-06) issued the following statement on the Federal Communications Commissionâ€™s (FCC) 3-2 ruling to reclassify broadband as a telecommunications service.","February 26, 2015","Accountability","null"
"1528294529-94","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=6","Walker Supports Budget that Balances in 10 Years, Paves the Way for Tax Reform; House Votes on Republican Study Committee Budget","https://walker.house.gov/media-center/press-releases/walker-supports-budget-balances-10-years-paves-way-tax-reform-house","Walker Supports Budget that Balances in 10 Years, Paves the Way for Tax Reform; House Votes on Republican Study Committee Budget","WASHINGTON, D.C. – U.S. Representative Mark Walker (R-N.C.) today released the following statement after the U.S. House of Representative passed H.Con.Res. 71, the Establishing the congressional budget for the United States Government for fiscal year 2018 and setting forth the appropriate budgetary levels for fiscal years 2019 through 2027, in a 219-206 vote:

""20.2 trillion. Our national debt is more than $20.2 trillion. Let’s put it this way: each American's share of the national debt is $62,000. From the retiree in Greensboro who has already done so much to serve the country to the newborn child in Burlington with so much potential, $62,000. In fact, it’s more than the median American family brings home in an entire year.


	""Is it not a moral injustice to leave this level of debt to the next generation? We’ve been making this argument in the House for years. Today, it’s time to make a difference.""


	Walker voted in favor of the legislation, which would balance the budget over 10 years and offers strong conservative reforms that put the government on path to fiscal responsibility. The budget also paves the way for tax reform by prompting the creation of a budget reconciliation package that can serve as a legislative vehicle for changes in the tax code.

Just before the vote, the House voted on the ""Securing America’s Future Economy"" Fiscal Year 2018 Budget of the Republican Study Committee (RSC), which Walker chairs.","October 5, 2017","Security","null"
"1528294972-378","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=25","Walker:  The House is Acting to Protect the Constitution","https://walker.house.gov/media-center/press-releases/walker-house-acting-protect-constitution","Walker:  The House is Acting to Protect the Constitution","WASHINGTON, DC â€“ U.S. Representative Mark Walker (NC-06) released the following statement after the House passed H.R. 240, the Department of Homeland Security Appropriations Act.","January 14, 2015","Security","null"
"1528294956-361","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=24","Walker Announces Congressional Art Competition Winner","https://walker.house.gov/media-center/press-releases/walker-announces-congressional-art-competition-winner","Walker Announces Congressional Art Competition Winner","GREENSBORO, NCâ€“ U.S. Rep. Mark Walker (NC-06) today announced that Skyler Paschall from Orange High School was selected as the winner of this year's Congressional Art Competition for North Carolinaâ€™s Sixth District.","April 8, 2015","","Congressional Art Competition Winners for North Carolinaâ€™s Sixth District:"
"1528294529-96","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=6","Walker Supports Budget that Balances in 10 Years, Paves the Way for Tax Reform; House Votes on Republican Study Committee Budget","https://walker.house.gov/media-center/press-releases/walker-supports-budget-balances-10-years-paves-way-tax-reform-house","Walker Supports Budget that Balances in 10 Years, Paves the Way for Tax Reform; House Votes on Republican Study Committee Budget","WASHINGTON, D.C. – U.S. Representative Mark Walker (R-N.C.) today released the following statement after the U.S. House of Representative passed H.Con.Res. 71, the Establishing the congressional budget for the United States Government for fiscal year 2018 and setting forth the appropriate budgetary levels for fiscal years 2019 through 2027, in a 219-206 vote:

""20.2 trillion. Our national debt is more than $20.2 trillion. Let’s put it this way: each American's share of the national debt is $62,000. From the retiree in Greensboro who has already done so much to serve the country to the newborn child in Burlington with so much potential, $62,000. In fact, it’s more than the median American family brings home in an entire year.


	""Is it not a moral injustice to leave this level of debt to the next generation? We’ve been making this argument in the House for years. Today, it’s time to make a difference.""


	Walker voted in favor of the legislation, which would balance the budget over 10 years and offers strong conservative reforms that put the government on path to fiscal responsibility. The budget also paves the way for tax reform by prompting the creation of a budget reconciliation package that can serve as a legislative vehicle for changes in the tax code.

Just before the vote, the House voted on the ""Securing America’s Future Economy"" Fiscal Year 2018 Budget of the Republican Study Committee (RSC), which Walker chairs.","October 5, 2017","Tax Reform","null"
"1528294431-33","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=1","Walker: ""President Trump Made the Right Decision in Withdrawing from the Iran Nuclear Deal""","https://walker.house.gov/media-center/press-releases/walker-president-trump-made-right-decision-withdrawing-iran-nuclear-deal","Walker: ""President Trump Made the Right Decision in Withdrawing from the Iran Nuclear Deal""","WASHINGTON, D.C. –  U.S. Representative Mark Walker (R-N.C.) released the following statement after President Donald Trump announced withdrawal from the Joint Comprehensive Plan of Action (JCPOA), also called the Iran Nuclear Deal:

""President Trump made the right decision in withdrawing from the Iran Nuclear Deal. Nobody should be surprised that the deal failed to rein in the world's largest sponsor of terrorism.  At its core, the deal was destined to fail due to its inability to curb the Iranian Regime’s expansionist and destabilizing goals in the greater Middle East. The unsurprising revelations from Israeli intelligence only confirm the deal’s failure. Americans continue to back the President’s robust agenda to support our key allies in the region and contain the Iranian Revolutionary Guard Corps.""","May 9, 2018","Security","null"
"1528294998-393","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=26","Congressman Mark Walker Officially Sworn In","https://walker.house.gov/media-center/press-releases/representative-sworn-into-office","Congressman Mark Walker Officially Sworn In","WASHINGTON, DC - Congressman Mark Walker was sworn in today as the 36th Congressman from North Carolinaâ€™s 6th District.","January 6, 2015","","Congressman Walker was previously a Pastor of Worship at Lawndale Baptist Church in Greensboro, NC where he helped lead the music ministry.  He left Lawndale at the end of 2013 to run for Congress full-time, concluding a 16-year career as a pastor.  Before his call to ministry, Congressman Walker worked in business and finance.  This is Congressman Walkerâ€™s first time in elected office."
